tweet_author,tweet,like_count
Donald Trump,Republicans and Democrats have both created our economic problems.,49
Donald Trump,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y",73748
Donald Trump,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, &amp; the Democrats know it. Almost all recent elections using this system, even though much smaller &amp;  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots &amp; Fraud!",80527
Donald Trump,Getting a little exercise this morning! https://t.co/fyAAcbhbgk,285863
Donald Trump,https://t.co/4qwCKQOiOw,130822
Donald Trump,https://t.co/VlEu8yyovv,153446
Donald Trump,https://t.co/z5CRqHO8vg,102150
Donald Trump,https://t.co/TQCQiDrVOB,255804
Donald Trump,Thank you Elise! https://t.co/Y4Hb0zf5jk,48510
Donald Trump,"As per your request, Joe... https://t.co/78mzcfLEsF https://t.co/AalVkSfHFi",253761
Donald Trump,https://t.co/NmdLNsfDU2,95300
Donald Trump,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,493076
Donald Trump,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",142084
Donald Trump,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, that’s THREE Arab countries to have done so in only a matter of weeks. More will follow! https://t.co/UHB8H6oaZc",215994
Donald Trump,Thank you Megyn! https://t.co/sC71EEWIOd,178163
Donald Trump,11 DAYS! #MAGA https://t.co/PuqeF1ctDs,197604
Donald Trump,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp &amp; @AdamLaxalt are finding things that, when released, will be absolutely shocking!",363489
Donald Trump,https://t.co/JEzkcjgLSy,83455
Donald Trump,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI,347994
Donald Trump,"Nobody is showing up for Obama’s hate laced speeches. 47 people! No energy, but still better than Joe!",195132
Donald Trump,https://t.co/2rLJfoKmSS,69095
